fips,name,median_income
37001,"Alamance County, NC",58847
37003,"Alexander County, NC",52989
37005,"Alleghany County, NC",45239
37007,"Anson County, NC",40773
37009,"Ashe County, NC",45551
37011,"Avery County, NC",48470
37013,"Beaufort County, NC",50312
37015,"Bertie County, NC",41280
37017,"Bladen County, NC",42398
37019,"Brunswick County, NC",67286
37021,"Buncombe County, NC",63838
37023,"Burke County, NC",53758
37025,"Cabarrus County, NC",79148
37027,"Caldwell County, NC",44705
37029,"Camden County, NC",79162
37031,"Carteret County, NC",63146
37033,"Caswell County, NC",50879
37035,"Catawba County, NC",59841
37037,"Chatham County, NC",82764
37039,"Cherokee County, NC",44211
37041,"Chowan County, NC",48568
37043,"Clay County, NC",51537
37045,"Cleveland County, NC",49009
37047,"Columbus County, NC",41206
37049,"Craven County, NC",57628
37051,"Cumberland County, NC",52463
37053,"Currituck County, NC",82759
37055,"Dare County, NC",68682
37057,"Davidson County, NC",53473
37059,"Davie County, NC",67224
37061,"Duplin County, NC",45149
37063,"Durham County, NC",71436
37065,"Edgecombe County, NC",41157
37067,"Forsyth County, NC",60228
37069,"Franklin County, NC",63687
37071,"Gaston County, NC",56017
37073,"Gates County, NC",59762
37075,"Graham County, NC",43647
37077,"Granville County, NC",62715
37079,"Greene County, NC",42884
37081,"Guilford County, NC",60915
37083,"Halifax County, NC",38944
37085,"Harnett County, NC",61701
37087,"Haywood County, NC",51817
37089,"Henderson County, NC",60384
37091,"Hertford County, NC",40461
37093,"Hoke County, NC",54948
37095,"Hyde County, NC",44880
37097,"Iredell County, NC",69734
37099,"Jackson County, NC",50652
37101,"Johnston County, NC",69889
37103,"Jones County, NC",47616
37105,"Lee County, NC",56679
37107,"Lenoir County, NC",44244
37109,"Lincoln County, NC",73319
37111,"McDowell County, NC",50476
37113,"Macon County, NC",49406
37115,"Madison County, NC",51849
37117,"Martin County, NC",43261
37119,"Mecklenburg County, NC",75138
37121,"Mitchell County, NC",49086
37123,"Montgomery County, NC",52897
37125,"Moore County, NC",69373
37127,"Nash County, NC",55956
37129,"New Hanover County, NC",66212
37131,"Northampton County, NC",40524
37133,"Onslow County, NC",55645
37135,"Orange County, NC",79814
37137,"Pamlico County, NC",53732
37139,"Pasquotank County, NC",51365
37141,"Pender County, NC",69555
37143,"Perquimans County, NC",53760
37145,"Person County, NC",55287
37147,"Pitt County, NC",48116
37149,"Polk County, NC",58064
37151,"Randolph County, NC",57088
37153,"Richmond County, NC",42158
37155,"Robeson County, NC",38613
37157,"Rockingham County, NC",46868
37159,"Rowan County, NC",56441
37161,"Rutherford County, NC",44477
37163,"Sampson County, NC",48267
37165,"Scotland County, NC",44060
37167,"Stanly County, NC",57465
37169,"Stokes County, NC",57763
37171,"Surry County, NC",51820
37173,"Swain County, NC",47838
37175,"Transylvania County, NC",61737
37177,"Tyrrell County, NC",39970
37179,"Union County, NC",87553
37181,"Vance County, NC",45557
37183,"Wake County, NC",91558
37185,"Warren County, NC",44794
37187,"Washington County, NC",42582
37189,"Watauga County, NC",55183
37191,"Wayne County, NC",49955
37193,"Wilkes County, NC",47891
37195,"Wilson County, NC",48777
37197,"Yadkin County, NC",56547
37199,"Yancey County, NC",46299
