county,elderly_pop,physicians,smokers
Alamance,0.171,6,17
Alexander,0.204,2.3,17
Alleghany,0.28,4.4,17
Anson,0.193,1.2,20
Ashe,0.266,4.7,17
Avery,0.229,5,17
Beaufort,0.28,3.8,18
Bertie,0.236,3.6,20
Bladen,0.228,3.5,19
Brunswick,0.326,4.2,15
Buncombe,0.205,13,17
Burke,0.207,8.1,17
Cabarrus,0.134,7.9,16
Caldwell,0.204,4.9,17
Camden,0.169,0.9,16
Carteret,0.257,5.1,16
Caswell,0.221,3,18
Catawba,0.183,6.8,16
Chatham,0.25,3,14.000000000000002
Cherokee,0.305,2.4,17
Chowan,0.253,7.8,18
Clay,0.319,3.4,16
Cleveland,0.19,6.2,18
Columbus,0.206,4.4,19
Craven,0.197,6.8,16
Cumberland,0.122,5.8,18
Currituck,0.164,2.2,15
Dare,0.222,6.7,16
Davidson,0.185,3.6,18
Davie,0.217,3.5,15
Duplin,0.194,2.2,21
Durham,0.136,12.6,15
Edgecombe,0.204,5.1,21
Forsyth,0.164,11.4,18
Franklin,0.171,0.7,18
Gaston,0.163,5.8,17
Gates,0.209,0,16
Graham,0.245,4.6,18
Granville,0.177,6,17
Greene,0.17,4.8,20
Guilford,0.155,7.8,16
Halifax,0.214,4.5,20
Harnett,0.128,4.3,19
Haywood,0.25,7.1,18
Henderson,0.264,7.5,14.000000000000002
Hertford,0.204,9.6,19
Hoke,0.106,2.9,20
Hyde,0.226,1.9,17
Iredell,0.162,6.9,15
Jackson,0.199,6.3,18
Johnston,0.136,3,18
Jones,0.24,4.9,19
Lee,0.168,6.2,17
Lenoir,0.202,5.5,19
Lincoln,0.179,5,16
Macon,0.289,7.1,16
Madison,0.231,4.9,17
Martin,0.239,5.6,19
McDowell,0.208,5.1,19
Mecklenburg,0.115,9.5,14.000000000000002
Mitchell,0.255,8.5,16
Montgomery,0.211,2.5,18
Moore,0.24,7,14.000000000000002
Nash,0.19,5.9,18
New Hanover,0.184,8.1,16
Northampton,0.27,1.5,19
Onslow,0.096,3,18
Orange,0.146,22.1,14.000000000000002
Pamlico,0.304,3.8,16
Pasquotank,0.172,7.6,18
Pender,0.186,2.7,16
Perquimans,0.273,3.7,17
Person,0.201,3.2,18
Pitt,0.139,11.1,17
Polk,0.321,3.7,14.000000000000002
Randolph,0.181,3.5,18
Richmond,0.183,3.8,21
Robeson,0.157,4.4,24
Rockingham,0.209,4.9,18
Rowan,0.179,4.4,17
Rutherford,0.222,4.2,19
Sampson,0.183,4.7,19
Scotland,0.188,6.2,23
Stanly,0.193,4.1,17
Stokes,0.218,3.7,16
Surry,0.208,5.5,17
Swain,0.196,10.5,22
Transylvania,0.314,7.6,16
Tyrrell,0.202,0,21
Union,0.13,4.5,15
Vance,0.191,5.9,20
Wake,0.12,8.5,12
Warren,0.262,0.5,19
Washington,0.253,2.5,19
Watauga,0.164,5.9,18
Wayne,0.169,5.6,18
Wilkes,0.222,5,18
Wilson,0.187,6.1,18
Yadkin,0.205,2.9,18
Yancey,0.263,4.3,17
