Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage Dealt,# Kills,Notes
C2E001,0:35:40,Fjord,Perception,Nat20,20,,,,
C2E001,0:39:22,Jester,Perception,22,19,,,,
C2E001,0:39:30,Beau,Perception,19,16,,,,
C2E001,0:43:04,Beau,Insight,13,8,,,,
C2E001,0:50:37,Molly,Insight,16,11,,,,
C2E001,0:51:00,Molly,Sleight of Hand,16,11,,,,
C2E001,0:51:25,Nott,Perception,14,14,,,,
C2E001,0:52:13,Molly,Sleight of Hand,19,14,,,,
C2E001,0:53:09,Molly,Sleight of Hand,14,9,,,,
C2E001,1:06:50,Nott,Sleight of Hand,20,12,,,,
C2E001,1:06:57,Jester,Perception,Unknown,Unknown,,,,
C2E001,1:07:34,Jester,Sleight of Hand,13,8,,,,
C2E001,1:07:35,Nott,Perception,Unknown,Unknown,,,,
C2E001,1:08:50,Nott,Other,Unknown,Unknown,,,,Crick Queen's Call
C2E001,1:08:50,Nott,Other,Unknown,Unknown,,,,Crick Queen's Call
C2E001,1:08:50,Nott,Other,Unknown,Unknown,,,,Crick Queen's Call
C2E001,1:08:52,Jester,Other,5,,,,,Crick Queen's Call
C2E001,1:08:52,Jester,Other,5,,,,,Crick Queen's Call
C2E001,1:08:52,Jester,Other,5,,,,,Crick Queen's Call
C2E001,1:09:11,Nott,Acrobatics,24,18,,,,
C2E001,1:09:13,Beau,Athletics,14,10,,,,
C2E001,1:15:43,Fjord,Insight,13,15,,,,
C2E001,1:15:53,Nott,Deception,11,14,,,,
C2E001,1:20:25,Nott,Constitution Save,12,10,,,,
C2E001,1:21:23,Caleb,Investigation,12,6,,,,
C2E001,1:24:17,Jester,Sleight of Hand,Nat20,20,,,,
C2E001,1:55:10,Jester,Perception,8,5,,,,
C2E001,1:55:16,Beau,Insight,Nat20,20,,,,
C2E001,1:57:57,Yasha,Investigation,Unknown,Unknown,,,,Disregarded due to advantage
C2E001,1:57:57,Yasha,Investigation,12,,,,,With advantage
C2E001,1:58:37,Nott,Sleight of Hand,12,4,,,,
C2E001,2:01:15,Fjord,Perception,11,11,,,,
C2E001,2:24:32,Beau,Initiative,Nat1,1,,,,
C2E001,2:25:23,Jester,Initiative,22,19,,,,
C2E001,2:25:31,Molly,Initiative,10,7,,,,
C2E001,2:25:33,Nott,Initiative,10,6,,,,
C2E001,2:25:34,Fjord,Initiative,12,12,,,,
C2E001,2:25:34,Yasha,Initiative,13,11,,,,
C2E001,2:25:35,Caleb,Initiative,11,10,,,,
C2E001,2:26:51,Jester,Spell Attack,16,11,,,,Guiding Bolt
C2E001,2:27:04,Jester,Damage,18,,,18 to Creature 1,,
C2E001,2:30:29,Fjord,Attack,Nat1,1,,,,Disregarded due to advantage
C2E001,2:30:29,Fjord,Attack,18,12,,,,Falchion with advantage
C2E001,2:30:42,Fjord,Damage,11,,,11 to Creature 1,,
C2E001,2:31:17,Caleb,Spell Attack,17,11,,,,Chromatic Orb (Cold)
C2E001,2:31:44,Caleb,Damage,9,,,9 Cold to Creature 1,,
C2E001,2:33:07,Nott,Performance,15,18,,,,
C2E001,2:34:29,Beau,Athletics,7,3,,,,
C2E001,2:35:08,Beau,Attack,20,14,,,,Unarmed Strike
C2E001,2:35:18,Beau,Attack,15,9,,,,Unarmed Strike
C2E001,2:35:25,Beau,Damage,11,,,11 to Creature 1,,
C2E001,2:36:28,Caleb,Dexterity Save,17,16,,,,
C2E001,2:36:28,Nott,Dexterity Save,15,9,,,,
C2E001,2:39:04,Molly,Attack,21,16,,,,Sword
C2E001,2:39:10,Molly,Damage,9,,,9 (8 + 1 Cold) to Creature 1,,
C2E001,2:40:38,Jester,Damage,3,,,3 Necrotic to Creature 1,,Toll the Dead
C2E001,2:43:23,Fjord,Attack,16,10,,,,Falchion AoO
C2E001,2:43:30,Fjord,Damage,12,,,12 to Creature 2,,
C2E001,2:45:29,Yasha,Attack,Unknown,Unknown,,,,Disreagrded due to advantage
C2E001,2:45:29,Yasha,Attack,17,12,,,,Greatsword Reckless
C2E001,2:45:50,Yasha,Damage,13,,,13 to Creature 1,1,
C2E001,2:47:53,Fjord,Attack,21,15,,,,Falchion
C2E001,2:47:58,Fjord,Damage,17,,,17 (12 + 5 Necrotic) to Creature 2,,
C2E001,2:48:54,Caleb,Spell Attack,11,5,,,,Chromatic Orb (Acid)
C2E001,2:49:54,Nott,Attack,16,10,,,,Crossbow Sneak Attack
C2E001,2:50:04,Nott,Damage,14,,,14 (10 + 4 SA) to Creature 2,,
C2E001,2:51:15,Nott,Perception,9,9,,,,
