date,total_cases,new_cases
03/09/2020,41,41
03/10/2020,92,51
03/11/2020,95,3
03/12/2020,108,13
03/13/2020,123,15
03/14/2020,138,15
03/15/2020,164,26
03/16/2020,197,33
03/17/2020,218,21
03/18/2020,256,38
03/19/2020,328,72
03/20/2020,413,85
03/21/2020,525,112
03/22/2020,646,121
03/23/2020,777,131
03/24/2020,1159,382
03/25/2020,1838,679
03/26/2020,2417,579
03/27/2020,3240,823
03/28/2020,4257,1017
03/29/2020,4955,698
03/30/2020,5752,797
03/31/2020,6620,868
04/01/2020,7738,1118
04/02/2020,8966,1228
04/03/2020,10402,1436
04/04/2020,11736,1334
04/05/2020,12500,764
04/06/2020,13837,1337
