date,total_deaths,new_deaths
03/09/2020,0,0
03/10/2020,0,0
03/11/2020,0,0
03/12/2020,0,0
03/13/2020,0,0
03/14/2020,0,0
03/15/2020,0,0
03/16/2020,0,0
03/17/2020,0,0
03/18/2020,0,0
03/19/2020,0,0
03/20/2020,1,1
03/21/2020,1,0
03/22/2020,5,4
03/23/2020,9,4
03/24/2020,11,2
03/25/2020,15,4
03/26/2020,25,10
03/27/2020,35,10
03/28/2020,45,10
03/29/2020,48,3
03/30/2020,56,8
03/31/2020,89,33
04/01/2020,122,33
04/02/2020,154,32
04/03/2020,192,38
04/04/2020,216,24
04/05/2020,231,15
04/06/2020,260,29
04/07/2020,356,96
04/08/2020,433,77
04/09/2020,503,70
04/10/2020,599,96
